=========

expl(lot-5, There-1)
auxpass(lot-5, 's-2)
cop(lot-5, been-3)
det(lot-5, a-4)
root(ROOT-0, lot-5)
amod(reviews-8, positive-7)
prep_of(lot-5, reviews-8)
det(camera-11, this-10)
prep_about(reviews-8, camera-11)
partmod(camera-11, listing-12)
poss(strengths-14, its-13)
dobj(listing-12, strengths-14)
advmod(minor-17, very-16)
amod(weaknesses-18, minor-17)
dobj(listing-12, weaknesses-18)
conj_and(strengths-14, weaknesses-18)

=========

dobj(seen-5, What-1)
nsubj(seen-5, I-2)
aux(seen-5, have-3)
neg(seen-5, not-4)
csubj(is-7, seen-5)
dep(seen-5, mentioned-6)
root(ROOT-0, is-7)
advmod(good-9, how-8)
dep(is-12, good-9)
det(camera-11, this-10)
nsubj(is-12, camera-11)
ccomp(is-7, is-12)
prep_for(is-12, landscape-14)
amod(photography-22, high-16)
amod(photography-22, dynamic-17)
nn(photography-22, range-18)
abbrev(photography-22, HDR-20)
prep_for(is-12, photography-22)
conj_and(landscape-14, photography-22)

=========

advmod(mention-4, First-1)
nsubj(mention-4, I-2)
aux(mention-4, 'll-3)
root(ROOT-0, mention-4)
complm(has-8, that-5)
det(K20D-7, the-6)
nsubj(has-8, K20D-7)
ccomp(mention-4, has-8)
det(depth-10, a-9)
dobj(has-8, depth-10)
nn(preview-13, field-12)
prep_of(depth-10, preview-13)

=========

nsubj(know-2, I-1)
nsubj(helpful-18, I-1)
root(ROOT-0, know-2)
nsubj(feature-6, it-3)
cop(feature-6, is-4)
det(feature-6, a-5)
ccomp(know-2, feature-6)
complm(use-14, that-7)
det(lot-9, a-8)
nsubj(use-14, lot-9)
prep_of(lot-9, people-11)
aux(use-14, do-12)
neg(use-14, not-13)
ccomp(feature-6, use-14)
dep(helpful-18, it-16)
advmod(helpful-18, quite-17)
conj_but(know-2, helpful-18)
mark(serious-22, if-19)
nsubj(serious-22, you-20)
cop(serious-22, are-21)
ccomp(helpful-18, serious-22)
prepc_about(serious-22, shooting-24)
dobj(shooting-24, landscapes-25)

=========

advmod(is-4, Next-1)
expl(is-4, there-3)
root(ROOT-0, is-4)
det(camera-6, no-5)
nsubj(is-4, camera-6)
prep(camera-6, at-7)
pobj(at-7, anywhere-8)
det(price-12, the-10)
amod(price-12, current-11)
prep_near(camera-6, price-12)
det(K20D-15, the-14)
prep_of(price-12, K20D-15)
nsubj(has-17, K20D-15)
rcmod(K20D-15, has-17)
det(feature-22, an-18)
amod(feature-22, equivalent-19)
nn(feature-22, exposure-20)
amod(feature-22, bracketing-21)
dobj(has-17, feature-22)

=========

nsubj(lack-9, Some-1)
det(D40-5, the-3)
nn(D40-5, Nikon-4)
prep_like(Some-1, D40-5)
prep_like(Some-1, D60-7)
conj_and(D40-5, D60-7)
advmod(lack-9, completely-8)
root(ROOT-0, lack-9)
dobj(lack-9, one-10)
mark(cameras-17, though-12)
nsubj(cameras-17, they-13)
cop(cameras-17, are-14)
advmod(cameras-17, still-15)
amod(cameras-17, good-16)
advcl(lack-9, cameras-17)

=========

nsubj(offer-8, Others-1)
det(models-7, the-3)
nn(models-7, Canon-4)
nn(models-7, X-5)
nn(models-7, series-6)
prep_like(Others-1, models-7)
root(ROOT-0, offer-8)
num(exposures-10, 3-9)
dobj(offer-8, exposures-10)
quantmod(1-14, at-12)
mwe(at-12, most-13)
pobj(at-12, most-13)
num(stop-15, 1-14)
prep_with(offer-8, stop-15)
prep_of(stop-15, compensation-17)

=========

nsubj(same-4, It-1)
cop(same-4, 's-2)
det(same-4, the-3)
root(ROOT-0, same-4)
prep_with(same-4, Olympus-6)
prep_with(same-4, Sony-8)
conj_and(Olympus-6, Sony-8)

=========

advmod(are-4, Again-1)
nsubj(are-4, these-3)
root(ROOT-0, are-4)
det(cameras-7, all-5)
amod(cameras-7, good-6)
npadvmod(but-8, cameras-7)
advmod(are-4, but-8)
mark(looking-12, if-9)
nsubj(looking-12, you-10)
xsubj(do-14, you-10)
aux(looking-12, are-11)
advcl(are-4, looking-12)
aux(do-14, to-13)
xcomp(looking-12, do-14)
nn(work-16, HDR-15)
dobj(do-14, work-16)
dep(consider-18, please-17)
dep(looking-12, consider-18)
det(K20d-21, the-19)
nn(K20d-21, Pentax-20)
dobj(consider-18, K20d-21)

=========

