=========

nsubjpass(broken-4, item-1)
auxpass(broken-4, is-2)
advmod(broken-4, already-3)
root(ROOT-0, broken-4)
nsubj(says-7, amazon-6)
parataxis(broken-4, says-7)
nsubj(take-9, itll-8)
ccomp(says-7, take-9)
det(month-11, a-10)
tmod(take-9, month-11)
aux(send-13, to-12)
infmod(month-11, send-13)
iobj(send-13, me-14)
det(one-17, a-15)
amod(one-17, new-16)
dobj(send-13, one-17)

=========

nsubj(claims-2, samsung-1)
nsubj(send-9, samsung-1)
xsubj(fix-13, samsung-1)
root(ROOT-0, claims-2)
dobj(claims-2, its-3)
prep_under(claims-2, warranty-5)
aux(send-9, will-8)
conj_and(claims-2, send-9)
dobj(send-9, someone-10)
prt(send-9, out-11)
aux(fix-13, to-12)
xcomp(send-9, fix-13)
dobj(fix-13, it-14)

=========

advmod(said-5, still-1)
det(contact-3, no-2)
nsubj(said-5, contact-3)
prep(contact-3, from-4)
ccomp(think-26, said-5)
num(center-9, &#34;-6)
amod(center-9, authorized-7)
nn(center-9, repair-8)
dobj(said-5, center-9)
npadvmod(so-11, &#34;-10)
advmod(said-5, so-11)
prepc_after(said-5, paying-13)
num(bucks-15, 1500-14)
dobj(paying-13, bucks-15)
nsubj(taking-19, it-18)
conj_and(said-5, taking-19)
ccomp(think-26, taking-19)
tmod(taking-19, weeks-20)
aux(delivered-23, to-21)
auxpass(delivered-23, be-22)
xcomp(taking-19, delivered-23)
nsubj(think-26, I-25)
root(ROOT-0, think-26)
nsubj(got-28, I-27)
xsubj(watch-30, I-27)
ccomp(think-26, got-28)
aux(watch-30, to-29)
xcomp(got-28, watch-30)
dobj(watch-30, it-31)
advmod(days-34, perhaps-32)
num(days-34, 2-33)
dep(broke-37, days-34)
dep(broke-37, before-35)
nsubj(broke-37, it-36)
dep(watch-30, broke-37)

