=========

nsubj(had-3, I-1)
aux(had-3, have-2)
root(ROOT-0, had-3)
det(tv-5, this-4)
dobj(had-3, tv-5)
num(months-8, 6-7)
prep_for(tv-5, months-8)
advmod(months-8, now-9)

=========

advmod(off-2, First-1)
advmod(came-5, off-2)
nsubj(came-5, it-4)
root(ROOT-0, came-5)
prep_from(came-5, Amazon-7)
det(dent-11, a-9)
amod(dent-11, slight-10)
prep_with(came-5, dent-11)
det(front-14, the-13)
prep_in(dent-11, front-14)
prep_of(front-14, it-16)

=========

prep_at(thought-4, first-2)
nsubj(thought-4, we-3)
root(ROOT-0, thought-4)
nsubj(way-8, it-5)
cop(way-8, was-6)
det(way-8, the-7)
ccomp(thought-4, way-8)
det(tv-10, the-9)
nsubj(was-11, tv-10)
nsubj(said-14, tv-10)
rcmod(way-8, was-11)
neg(said-14, never-13)
rcmod(way-8, said-14)
conj_and(was-11, said-14)
dobj(said-14, anything-15)
prep_about(said-14, it-17)

=========

det(longer-2, The-1)
dep(had-5, longer-2)
nsubj(had-5, we-3)
nsubj(look-8, we-3)
aux(had-5, have-4)
dep(convenced-15, had-5)
dobj(had-5, it-6)
conj_and(had-5, look-8)
dep(convenced-15, look-8)
prep_at(look-8, it-10)
nsubjpass(convenced-15, we-12)
auxpass(convenced-15, are-13)
advmod(convenced-15, now-14)
root(ROOT-0, convenced-15)
det(center-17, the-16)
nsubj(is-18, center-17)
xsubj(have-21, center-17)
ccomp(convenced-15, is-18)
neg(is-18, not-19)
aux(have-21, to-20)
xcomp(is-18, have-21)
det(crease-24, a-22)
amod(crease-24, slight-23)
dobj(have-21, crease-24)
det(bottom-27, the-26)
prep_on(crease-24, bottom-27)
prep_of(bottom-27, it-29)

=========

nsubj(people-4, We-1)
cop(people-4, are-2)
neg(people-4, not-3)
root(ROOT-0, people-4)
aux(complain-6, to-5)
infmod(people-4, complain-6)
prep_about(complain-6, things-8)
advmod(much-10, that-9)
advmod(complain-6, much-10)
mark(let-14, so-11)
nsubj(let-14, we-12)
advmod(let-14, just-13)
dep(much-10, let-14)
nsubj(go-16, it-15)
ccomp(let-14, go-16)

=========

advmod(month-3, About-1)
det(month-3, a-2)
npadvmod(ago-4, month-3)
advmod(sitting-7, ago-4)
nsubj(sitting-7, I-5)
aux(sitting-7, was-6)
dep(went-18, sitting-7)
expl(night-10, there-8)
nsubj(night-10, there-8)
num(night-10, one-9)
xcomp(sitting-7, night-10)
xcomp(sitting-7, all-12)
conj_and(night-10, all-12)
det(sudden-15, the-14)
prep_of(all-12, sudden-15)
det(wireless-17, the-16)
nsubj(went-18, wireless-17)
root(ROOT-0, went-18)
prt(went-18, out-19)
prep_on(went-18, it-21)

=========

nsubj(means-2, This-1)
root(ROOT-0, means-2)
nsubj(use-7, I-3)
aux(use-7, could-4)
advmod(longer-6, no-5)
advmod(use-7, longer-6)
ccomp(means-2, use-7)
det(features-11, the-8)
amod(features-11, smart-9)
nn(features-11, tv-10)
dobj(use-7, features-11)
det(TV-14, this-13)
prep_on(use-7, TV-14)

=========

