=========

mark(preparing-4, As-1)
nsubj(preparing-4, I-2)
aux(preparing-4, was-3)
advcl(needed-11, preparing-4)
det(trip-7, a-6)
prep_for(preparing-4, trip-7)
prep_to(preparing-4, Europe-9)
nsubj(needed-11, I-10)
nsubj(small-26, I-10)
root(ROOT-0, needed-11)
det(camera-14, a-12)
amod(camera-14, good-13)
dobj(needed-11, camera-14)
appos(camera-14, one-16)
nsubj(take-19, one-16)
aux(take-19, would-18)
rcmod(one-16, take-19)
amod(pictures-23, sharp-20)
amod(pictures-23, colorful-22)
dobj(take-19, pictures-23)
cop(small-26, was-25)
conj_and(needed-11, small-26)
advmod(small-26, enough-27)
aux(slip-29, to-28)
xcomp(small-26, slip-29)
poss(pocket-32, my-31)
prep_into(slip-29, pocket-32)

=========

nsubj(know-2, I-1)
root(ROOT-0, know-2)
det(cameras-5, the-3)
amod(cameras-5, bigger-4)
nsubj(take-6, cameras-5)
nsubj(want-12, cameras-5)
xsubj(burdened-15, cameras-5)
ccomp(know-2, take-6)
amod(pictures-8, great-7)
dobj(take-6, pictures-8)
aux(want-12, did-10)
neg(want-12, not-11)
ccomp(know-2, want-12)
conj_but(take-6, want-12)
aux(burdened-15, to-13)
auxpass(burdened-15, be-14)
xcomp(want-12, burdened-15)
prepc_with(burdened-15, hauling-17)
dobj(hauling-17, one-18)
advmod(hauling-17, around-19)

=========

det(reviews-2, The-1)
nsubj(portrayed-7, reviews-2)
det(camera-6, the-4)
nn(camera-6, Lumix-5)
prep_for(reviews-2, camera-6)
root(ROOT-0, portrayed-7)
nsubj(be-10, it-8)
aux(be-10, to-9)
xcomp(portrayed-7, be-10)
advmod(be-10, just-11)
dep(looking-15, what-12)
nsubj(looking-15, I-13)
aux(looking-15, was-14)
ccomp(be-10, looking-15)
prep(looking-15, for-16)

=========

nsubj(disappointed-4, I-1)
cop(disappointed-4, was-2)
neg(disappointed-4, not-3)
root(ROOT-0, disappointed-4)

=========

nsubj(features-4, These-1)
cop(features-4, are-2)
det(features-4, the-3)
root(ROOT-0, features-4)
dobj(like-7, features-4)
nsubj(like-7, I-5)
advmod(like-7, really-6)
rcmod(features-4, like-7)
prep_about(like-7, it-9)
nsubj(turns-12, It-11)
nsubj(ready-16, It-11)
parataxis(features-4, turns-12)
prt(turns-12, on-13)
cop(ready-16, is-15)
parataxis(features-4, ready-16)
conj_and(turns-12, ready-16)
aux(take-18, to-17)
xcomp(ready-16, take-18)
det(photo-20, a-19)
nsubj(fast-22, photo-20)
advmod(fast-22, incredibly-21)
xcomp(take-18, fast-22)

=========

advmod(wait-6, Sometimes-1)
nsubj(wait-6, you-2)
advmod(wait-6, just-3)
aux(wait-6, can-4)
neg(wait-6, not-5)
root(ROOT-0, wait-6)
prt(wait-6, around-7)
poss(camera-10, your-9)
prep_for(wait-6, camera-10)
prep_to(camera-10, power-12)
advmod(wait-6, up-13)

=========

det(zoom-3, The-1)
num(zoom-3, 16X-2)
nsubj(is-4, zoom-3)
root(ROOT-0, is-4)
nsubj(got-7, what-5)
advmod(got-7, initially-6)
ccomp(is-4, got-7)
nsubj(interested-9, me-8)
xcomp(got-7, interested-9)
